"SampleName","measureTime","injectionOrder"
"Bi_1",2021-07-19 13:51:34,1
"Bi_2",2021-07-19 14:05:49,2
"QC_00",2021-07-19 14:20:04,3
"QC_01",2021-07-19 14:34:20,4
"QC_02",2021-07-19 14:48:36,5
"QC_03",2021-07-19 15:02:52,6
"QC_04",2021-07-19 15:17:09,7
"QC_05",2021-07-19 15:31:25,8
"QC_06",2021-07-19 15:45:41,9
"QC_07",2021-07-19 15:59:57,10
"AAA9546791",2021-07-19 16:14:13,11
"AAA9487684",2021-07-19 16:28:28,12
"AAA9517319",2021-07-19 16:42:46,13
"AAA9487603",2021-07-19 16:57:02,14
"AAA9518343",2021-07-19 17:11:20,15
"AAA9528989",2021-07-19 17:25:35,16
"AAA9528270",2021-07-19 17:39:50,17
"AAA9546974",2021-07-19 17:54:05,18
"AAA9487719",2021-07-19 18:08:24,19
"AAA9522834",2021-07-19 18:22:39,20
"AAA9524588",2021-07-19 18:36:57,21
"AAA9517902",2021-07-19 18:51:12,22
"QC_08",2021-07-19 19:05:27,23
"AAA9524578",2021-07-19 19:19:42,24
"AAA9524174",2021-07-19 19:33:57,25
"AAA9518943",2021-07-19 19:48:12,26
"AAA9522553",2021-07-19 20:02:29,27
"AAA9527557",2021-07-19 20:16:44,28
"AAA9517694",2021-07-19 20:30:58,29
"AAA9519358",2021-07-19 20:45:16,30
"AAA9528321",2021-07-19 20:59:31,31
"AAA9524119",2021-07-19 21:13:46,32
"PD12055101S",2021-07-19 21:28:02,33
"AAA9517555",2021-07-19 21:42:18,34
"AAA9517325",2021-07-19 21:56:38,35
"QC_09",2021-07-19 22:10:54,36
"AAA9487690",2021-07-19 22:25:10,37
"AAA9485258",2021-07-19 22:39:26,38
"AAA9522125",2021-07-19 22:53:41,39
"AAA9525315",2021-07-19 23:07:57,40
"AAA9527202",2021-07-19 23:22:14,41
"PD14066301S",2021-07-19 23:36:30,42
"AAA9521960",2021-07-19 23:50:47,43
"AAA9527313",2021-07-20 00:05:02,44
"AAA9517384",2021-07-20 00:19:18,45
"AAA9519118",2021-07-20 00:33:34,46
"AAA9519317",2021-07-20 00:47:51,47
"AAA9519125",2021-07-20 01:02:06,48
"QC_10",2021-07-20 01:16:21,49
"AAA9547555",2021-07-20 01:30:36,50
"AAA9518991",2021-07-20 01:44:53,51
"AAA9487667",2021-07-20 01:59:09,52
"AAA9518767",2021-07-20 02:13:26,53
"AAA9517934",2021-07-20 02:27:42,54
"AAA9547502",2021-07-20 02:41:58,55
"AAA9487435",2021-07-20 02:56:14,56
"AAA9518752",2021-07-20 03:10:29,57
"AAA9547571",2021-07-20 03:24:45,58
"AAA9527724",2021-07-20 03:39:02,59
"AAA9527346",2021-07-20 03:53:18,60
"AAA9523787",2021-07-20 04:07:34,61
"QC_11",2021-07-20 04:21:51,62
"AAA9522537",2021-07-20 04:36:07,63
"AAA9523185",2021-07-20 04:50:22,64
"AAA9523701",2021-07-20 05:04:37,65
"AAA9524154",2021-07-20 05:18:53,66
"AAA9487986",2021-07-20 05:33:08,67
"AAA9525119",2021-07-20 05:47:23,68
"AAA9528203",2021-07-20 06:01:38,69
"AAA9524767",2021-07-20 06:15:53,70
"AAA9527760",2021-07-20 06:30:09,71
"AAA9527249",2021-07-20 06:44:24,72
"AAA9524537",2021-07-20 06:58:39,73
"AAA9485954",2021-07-20 07:12:55,74
"QC_12",2021-07-20 07:27:12,75
"AAA9522896",2021-07-20 07:41:28,76
"AAA9523940",2021-07-20 07:55:43,77
"AAA9525338",2021-07-20 08:10:02,78
"AAA9523375",2021-07-20 08:24:19,79
"AAA9518781",2021-07-20 08:38:35,80
"AAA9485967",2021-07-20 08:52:52,81
"AAA9525105",2021-07-20 09:07:07,82
"AAA9522312",2021-07-20 09:21:22,83
"AAA9523122",2021-07-20 09:35:38,84
"AAA9527921",2021-07-20 09:49:53,85
"AAA9527585",2021-07-20 10:04:10,86
"AAA9528509",2021-07-20 10:18:26,87
"QC_13",2021-07-20 10:32:42,88
"AAA9516174",2021-07-20 10:46:59,89
"PD13022201S",2021-07-20 11:01:19,90
"AAA9528346",2021-07-20 11:15:34,91
"AAA9528750",2021-07-20 11:29:51,92
"AAA9487902",2021-07-20 11:44:10,93
"AAA9485239",2021-07-20 11:58:26,94
"AAA9522361",2021-07-20 12:12:41,95
"AAA9527379",2021-07-20 12:26:56,96
