,Factor Value[Strain type],group,Uracil,Adenine,Hypoxanthine,Uridine,Creatinine,Adenosine,Cytosine,Inosine,Guanine,Tryptophan,Leucine,Guanosine,Choline,Isoleucine,Betaine,Valine,Alanine,Threonine,Nicotinamide riboside,Gamma-Aminobutyric acid,Glutamine,Oxaloacetate,Serine,Glucuronic acid,S-Adenosylhomocysteine,Citrulline,"1,4-Dihydronicotinamide adenine dinucleotide (NADH)",Flavin adenine dinucleotide (FAD),Flavin mononucleotide (FMN),Acetyl coenzyme A (Acetyl-CoA),ADP-ribose,Glycerol 3-phosphate,Dihydroxyacetone phosphate,D-Ribulose 5-phosphate,UDP-N-acetylglucosamine,N-Acetylglucosamine 1-phosphate,¦Â-Nicotinamide adenine dinucleotide (NAD),Fructose 6-phosphate,N-Acetylglucosamine 6-phosphate,Guanosine monophosphate (GMP),Phosphoenolpyruvate,D-Sedoheptulose 7-phosphate,3-Phosphoglycerate,Glutaryl-CoA,Succinyl-CoA,Uridine 5'-diphosphate,UDP-Glucuronate,6-Phosphogluconate,Adenosine-5'-triphosphate (ATP),Dihydronicotinamide-adenine dinucleotide phosphate (NADPH),Guanosine diphosphate (GDP),S-Adenosylmethionine,¦Â-Nicotinamide adenine dinucleotide phosphate (NADP),Oxidized glutathione,"Ribose 1,5-bisphosphate","Fructose 1,6-bisphosphate",Arginine,Ornithine,Lysine
rapZE227Stop-1,phage-resistant,rapZE227Stop,26.270566729949532,21.873918881276147,23.20057740721078,19.421439145317013,14.929009586097873,19.5891607280265,20.99176472904377,22.906816988091393,22.140213943625433,21.900576428247543,23.737199389074952,17.1965747856717,19.245400243486692,23.16885311856844,20.10275666208525,24.455263653646035,23.92896424114106,23.63602360437534,20.301802150023533,19.80968729759777,22.088029987622242,28.06926378202862,22.191693641920974,19.75988064560286,17.482500450206427,21.2870020803557,20.547373345613956,20.66289739842177,23.084171902118253,19.509798547923136,19.284118314168822,21.583936340986394,18.430289119870377,23.899403754576767,21.492635079925442,24.52832381907857,23.016118529883684,24.846249527385684,22.499017489944787,20.24291800807928,23.92621636650404,23.582595484407523,22.311578597108713,18.490547767093364,21.654041789765312,24.370659747658276,15.351851504648799,19.287485456205772,20.021289035355927,24.806547160767128,22.372889889582602,22.503340570973275,24.580482977865444,26.07238462918994,21.775758899694136,20.16358447782754,23.71764488183876,25.082057860810384,22.329803863458444
rapZE227Stop-2,phage-resistant,rapZE227Stop,27.293323104311494,21.982539026967927,23.357469437159953,19.394407781295083,14.981468128886707,19.670277450456712,21.713002824713524,22.767137998078926,22.012417777794752,22.12378009293406,23.61235059077053,16.856944759676026,19.37254582890108,23.041083732216148,20.115050582758577,24.386356605291155,23.921024249836215,23.466271342314418,20.065017845401922,19.889292856613878,21.364861531877807,28.148728182584303,22.82319152128769,19.766776049954615,17.868831677670677,21.642514746646313,21.205256057619557,21.570523904941396,23.23803306459817,21.237669805686025,18.990985205864952,21.49829880563206,18.77730759363652,24.292273760639667,21.429933066188113,24.556274302003043,22.685408720777357,24.949761202586096,22.333742466719382,20.183906282931872,24.061129031890175,23.715893282593004,22.62166169394197,18.9573809043359,22.257458434983256,24.370659646565866,15.428442823649553,19.181512583461274,19.995066791455773,24.815573410996535,22.372711075768752,22.491619629137567,24.503312808848698,26.23954516842717,21.527161018243152,20.35530803777097,23.610715236848986,25.01583051487356,21.867071786290573
rapZE227Stop-3,phage-resistant,rapZE227Stop,26.78811750021429,21.83259951503248,23.166742224216886,19.47555611446274,15.785969941422078,19.685833632715763,21.330002189966702,22.975923294700927,21.024656539165697,22.020458624877662,23.6773236145021,16.36941198966752,19.236445153323064,23.10534664939915,20.2053759178363,24.39442812111406,23.816871703007934,24.714278242874457,20.323052136145538,20.29359793076749,21.936999036597058,28.31548650349914,22.49638802751245,19.41996049788,17.209650498524013,21.14673298787499,20.16972930646307,20.348091155798517,22.836401121880716,19.238926903334438,19.69957168115541,21.57883808220383,18.49294702422314,23.78043417255661,21.838093742480773,24.66499762170847,21.427038717412877,25.012748958449244,22.416544541045795,20.479758653118914,23.739911585557156,23.824461375423912,22.174890738516325,18.51879080848611,22.139793974741494,24.37065980419021,15.366061900433406,19.28732885504954,20.1347878098116,24.90994303358936,22.4221144669109,22.846924266968482,24.535164432994566,26.33261999345714,21.804535924129958,20.330980441570457,23.8339987233399,25.158190578202245,21.728966350411977
rapZE227Stop-4,phage-resistant,rapZE227Stop,27.014167948711147,22.1197774615395,23.51672102681317,19.22768047839611,14.82000132563729,19.711275322488756,21.392464519214982,22.757472326293254,21.874999141242007,21.964387534663203,23.427812876005024,16.54269672551136,19.413136233059987,22.802677123706687,20.07337104043997,24.49046023301891,23.796786692291533,22.991705952907225,20.13596713728483,20.272871721073976,21.86213502188502,28.27983541666592,22.10353445020422,18.821202264933557,17.04898138739033,20.542543673425364,19.8625920715105,19.99320970774672,21.837472444669256,19.52801693764449,20.791197428804825,21.24080343394077,18.38312204989551,22.5703253811993,22.916227046727368,24.58919764281758,21.953144838940762,24.948533439858256,22.518775111237726,20.159914276248085,24.114968345588068,23.726808135840862,21.824718392755244,18.330587508693196,21.42486192928269,24.370659673169133,15.38152033927706,19.161820726958794,20.02957424764888,24.877025150993198,22.452045315113654,21.27001420433409,24.451002111081763,26.283632170367756,22.06589815603325,20.545426611573248,23.633856235638884,24.94257486568042,21.52500861543022
rapZE227Stop-5,phage-resistant,rapZE227Stop,26.363653630201302,21.956631945900206,23.24567700614833,19.615245890560775,15.372981635851515,19.7679242044461,21.044983479274205,23.09035206720783,20.798267706843333,22.135307383831154,23.74031728981403,16.13110711344031,19.56391997845948,23.17062399002094,20.255382812845905,24.53307144388391,24.07955047209986,23.138018728040752,20.621386512916803,20.144790737607526,21.90748960192441,28.24840204731521,22.108774076543938,19.623414194470296,17.559841057721563,21.498308521535286,21.067250849114703,20.796576712802697,23.2821162801496,20.046369033363536,19.313264820497988,21.875859172169115,18.565170484230816,24.07590255820056,21.53231532256834,24.712910523950505,22.823205504053963,24.829063402387543,22.813658433247493,20.106589337729833,23.8035476809321,23.60757528373594,22.674167690750775,18.534093834840434,22.163767470068297,24.37065966053258,15.323743068762045,19.370685475871596,19.968461661159232,25.046933838698667,22.391738354930354,22.773265946782548,24.728111637798644,26.32952143125358,21.860892372877494,20.207843612838207,23.970514685855473,25.205869337152116,22.180371053997497
rapZE227Stop-6,phage-resistant,rapZE227Stop,26.571155418705217,21.884808226307076,23.121489367219876,19.87913224225086,15.192200300226391,19.76307752127599,21.1980935779411,22.927970499919393,21.358118075066738,21.91644937515758,23.64732281410289,16.87891417771648,19.30476476640489,23.079465314725304,20.19774163650687,24.365114485889126,23.837330926854296,24.277673488246712,20.757992705840866,20.029593895148654,21.639654916040637,28.155220336447915,22.475757270455695,19.676898394326386,17.351813737560775,21.445670009582066,20.837271547515538,20.634836951213497,23.059927603545745,19.545439484797768,19.688869134066337,21.347555525355357,18.615980399984693,23.971901111643362,21.832850401949194,24.748113725289347,21.167296483139427,25.029023581447426,22.648734134012116,20.30795524878564,23.410043939753663,23.61773976924166,22.56199362236967,18.524835455270015,22.425906435182,24.370659771601215,15.443472474164944,19.252519547828427,20.275223981759957,25.015012299279082,22.28521005286513,22.866139320696416,24.638262763154355,26.544049737642528,21.84472767890893,20.32446415347754,23.91731347018444,25.163327492661715,21.767981524435786
WT-1,Wild Type,WT,26.47152940077166,21.825610422927305,22.980021484616568,18.901006620647482,14.93064583817694,19.659028581706107,21.662337381550746,22.815617662883863,21.73637578913784,22.10102910561982,23.729772631153182,19.74748607341279,19.09430702000691,23.168562701024513,20.13089148573302,24.224740377917122,23.642311113701105,26.041745511782025,21.041816606313137,19.65555294174176,21.676475047199002,27.534542786724142,23.255561274093285,19.57787723034109,17.75241456843599,21.4221528329784,20.531975575985157,20.56009640539479,22.908658498353503,18.86181483005393,19.530144950306326,21.381775779697847,18.490024418470778,23.969682741721478,18.96253790585107,21.461616051401055,20.866440201543952,25.137233893079696,17.80959746542501,20.467250751793866,23.542744391998063,23.930464178444435,22.124865408466565,18.58159176397974,22.36323614118483,23.546532168834386,14.403548801513343,19.34620550657442,21.409143685188994,25.34125601297858,21.092794219066306,23.09269172770921,24.838493265993247,26.865948479013305,21.968765105405023,20.36766599454579,24.265035910996648,25.16293584803717,21.63752417439711
WT-2,Wild Type,WT,26.324772196883366,21.651941372344798,22.925293532285732,18.373094826411545,14.819052382684506,19.466292843050066,21.738738307527726,22.720215938189433,21.68868108644121,21.95753670188827,23.53565998024607,19.045429310207858,19.160458474967957,22.972143314224954,19.985951738077084,24.14172293390519,23.621772547078507,23.4731142212203,21.521574264952932,19.765746661660195,21.228820680540156,27.342061547862688,22.35479811967114,18.762225138001547,16.935674720946736,20.993354615214656,21.171421295530536,20.05727846060253,22.049685684478547,18.633818396915274,20.91238424112883,20.70142791007992,18.229665552315186,22.829770455138654,19.255599159967616,21.199243574905292,21.263306221163525,25.031116447903283,16.680877283715766,20.206537780756225,23.71271112149111,23.859246154732727,21.33106540304406,18.24097014195716,21.705477735726667,23.543129957060373,14.600947515295175,19.386022493177887,20.541012450640853,25.14145460488477,20.913490402382703,23.282925232651827,24.80900755834588,26.971242675999584,21.970820621359856,20.38504755464711,24.17536327139158,25.26023683340497,21.039589058989847
WT-3,Wild Type,WT,26.274162656291466,21.65132912836582,22.885493913531445,18.269356551082105,14.996957171255039,19.43984837673123,21.54785718611337,22.74717583754116,21.547944111679975,22.16662480994372,23.532225110241217,19.356582189521042,19.145883183297922,22.943303241889314,20.08540484293719,24.09073357052062,23.656750154798598,22.361167994187706,21.235903156403708,19.747892197110982,21.239340320091376,27.38843089699775,21.980362576640086,19.19561674670109,17.380215538128063,21.250904240604388,21.661575097094985,20.400379609303474,22.049767671050496,20.787814815576265,19.377551866957198,21.46110946144035,18.390873360364495,23.25208720804118,18.68417042544721,21.062854818780924,21.108643903704454,25.054737705568076,15.961990021184535,20.236237574672483,23.989827486724874,24.078046226884855,22.153642488613148,18.276890200615703,22.037109849846562,23.256280462822406,14.972630625075817,19.18636254950489,20.32050322654584,25.25889252292986,21.096683997919573,23.232729674520257,24.564113576544152,26.898582151453137,21.770217922961127,20.40726145019918,24.24404048416168,25.089696097614205,21.392618181417852
WT-4,Wild Type,WT,26.1871201052153,21.78047518052626,22.93842585475622,18.514534192559168,15.013922148047504,19.60022453524887,21.5825892378335,22.734126843684948,21.75521883101148,21.881961546281826,23.556965389528038,19.51451178461417,19.325155970139615,23.006369417772202,20.11731897903488,24.174982198915593,23.604469901760954,23.398929169749973,21.62905918192789,19.974130079653012,21.594127536555487,27.403669365555675,22.24042896328217,18.18104557204566,16.828764889042784,20.74283426713198,20.552154870928813,19.579359274319785,21.609957832437708,18.28094058340522,20.56372966958285,20.218963095115107,18.228751851121768,22.48199164158108,19.250388455835107,21.179668794309404,21.972879272511364,24.799073189095676,16.21466471067136,19.878353623182893,23.256506477046162,23.553934533423895,21.261844948546276,18.2342782690266,21.19153660849731,23.213874327054974,14.276464534342844,19.385120528178398,20.288406617676323,25.143814898587024,20.760155850008793,23.22809692236134,24.80687638696777,27.093064396971787,21.900289880779365,20.604590610565232,24.217718525960628,25.216358036495617,21.398760039049805
