database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	rapZE227Stop-1	rapZE227Stop-2	rapZE227Stop-3	rapZE227Stop-4	rapZE227Stop-5	rapZE227Stop-6	WT-1	WT-2	WT-3	WT-4	WT-5	WT-6	WRP-1	WRP-2	WRP-3	WRP-4	WRP-5	WRP-6	QC-1	QC-2	QC-3
				Uracil	111/42				1.624950333												80952187.5	164478423.9	115884911.9	135542303	86347653.08	99704509.31	93051714.76	84051614.56	81154213	76402690.38	79450943.07	83368573.57	82668560.04	55307183.37	127738834.4	80635670.06	81436675.04	98257046.25	83852330.54	81987268.52	81904328.57
				Adenine	136/92				2.663694333												3843312.567	4143846.199	3734799.89	4557393.34	4070097.561	3872431.333	3716750.521	3295215.467	3293817.356	3602270.729	3410438.972	3575391	4714674.559	3062539.607	3206128.763	3497788.537	3170561.566	3235960.603	3116881.472	2988418.165	3083034.016
				Hypoxanthine	137/110				2.732883333												9639837.573	10747288.9	9416387.265	12001580.12	9945944.887	9125608.729	8273242.759	7965279.37	7748544.536	8038115.376	8072124.526	7564507.881	10289099.82	7157187.14	6793062.697	7722114.271	7616777.466	7554535.368	7195269.1	6722955.085	6964746.01
				Uridine	243/200.1				2.634283333												702159.4444	689125.7693	728998.3959	613915.4612	803114.349	964306.4967	489519.4374	339510.0667	315954.3386	374481.3103	428124.9087	534946.8754	1315867.361	891844.3105	1372167.331	1271271.004	865670.1767	1102648.601	700008.1287	624225.5824	681820.6003
				Creatinine	114.1/44				2.802066333												31194.61938	32349.7766	56500.26217	28924.43836	42435.42882	37437.5992	31230.01925	28905.41936	32698.96092	33085.74507	34781.86311	37248.09447	44586.92324	32128.36535	37533.95266	38398.87067	30417.18279	34311.89135	31009.0807	29307.19935	30203.95892
				Adenosine	268/136				2.914339												788723.8418	834340.904	843386.0496	858390.9394	892767.0181	889772.831	827860.7426	724332.6304	711176.623	794795.6964	735452.5177	814322.4623	1047034.012	765977.5018	790819.0687	864300.8236	786408.3636	847116.7272	785880.6594	698967.5449	720706.1129
				Cytosine	112/94.9				3.270094667												2085215.024	3437677.615	2636152.114	2752792.659	2163571.667	2405813.834	3319046.432	3499550.77	3065853.195	3140557.467	2984345.852	3297181.221	2057222.18	1343468.258	2820546.437	1670535.855	1864271.668	2374013.731	2654352.259	2882163.755	2666646.428
				Inosine	267/135.1				3.367233333												7863918.766	7138245.05	8249774.73	7090580.561	8930763.375	7980072.926	7382191.146	6909816.359	7040155.37	6976765.167	7436412.508	7230649.614	7757079.853	6198621.519	6299654.632	6774187.518	6609797.524	7058947.967	7579128.487	6578231.484	7135178.907
				Guanine	152/135				3.591211												4622410.462	4230561.65	2133301.638	3846191.437	1823486.018	2688030.496	3493824.69	3380209.153	3066037.925	3539756.846	3388908.453	3528241.515	1449390.442	2031479.307	1979137.123	2644407.466	2626864.284	2090248.659	2816013.882	2879059.497	2734685.315
				Tryptophan	205.2/188.1				3.977205667												3914987.928	4570054.986	4254206.476	4092036.363	4606716.494	3958299.581	4498551.491	4072650.838	4707810.47	3864797.908	4385014.31	3881246.25	5197438.801	4638883.241	4084957.691	4971730.147	5493491.682	5319036.716	5017885.278	4155488.798	4372804.103
				Leucine	132.1/86.2				4.122866667												13983279.2	12824067.52	13414813.06	11284294.41	14013532.04	13138732.91	13911480.53	12160169.31	12131251.96	12341080.61	12978135.6	13079080.17	13809729.37	11558209.23	11312641.27	11935756.96	12921279.77	11826163.88	12531553.88	11869248.29	12515601.07
				Guanosine	282/150				4.034738667												150205.1534	118698.7124	84661.12209	95465.82358	71770.68717	120520.094	880208.6802	541060.0928	671292.5889	748950.9878	260016.6811	388252.7364	241525.4854	423747.4402	291106.1099	639838.6872	288802.5256	285326.546	348605.8954	318076.3779	344651.7921
				Choline	104/60.1				5.938316333												621502.3167	678761.7909	617656.4786	698130.0244	775044.692	647609.5641	559704.965	585966.4241	580076.3129	656827.9392	630663.0038	591935.9353	862518.2901	453233.7949	462696.5489	527248.5057	510902.7931	564705.9186	498607.7074	489069.3499	492828.7488
				Isoleucine	132.1/86.201				4.122866667												9430175.035	8630924.866	9024068.882	7316271.202	9441757.442	8863624.385	9428276.912	8228187.929	8065336.199	8425725.109	8799174.471	8901909.334	9188961.842	7631514.54	7580117.265	8045978.28	8422315.26	7796376.424	8454064.833	7977450.615	8366272.519
				Betaine	118.1/58.1				4.457433333												1125985.378	1135621.457	1208994.221	1103282.672	1251635.292	1202613.507	1148159.376	1038415.029	1112523.857	1137408.436	1181616.937	1163648.051	1614605.186	973001.4203	1135569.167	1276651.721	995261.082	1167238.365	977039.5679	971960.2231	993742.6928
				Valine	118.1/55.1				4.5178												23002122.48	21929302.74	22052335.52	23570192.95	24276741.3	21608782.99	19605299.94	18508991.25	17866250.64	18940645.97	18792704.2	18419957.51	21526570.6	17103110.57	16726572.17	17673743.47	18300978.66	18372696.11	20268976.6	19784699.66	20172500.45
				Alanine	90.1/43.9				5.23145												15971143.13	15883486.06	14777221.58	14572920.47	17728295.18	14988274.06	13093170.16	12908093.05	13224869.54	12754207.32	12984807.36	12510152.07	15885302.78	14432512.68	11859862.59	14644331.72	16085043.71	14954051.62	15251194.75	14865487.18	15249998.01
				Threonine	120/74				5.435617												13036232.07	11589149.37	27525744.37	8340520.292	9230764.632	20337986.04	69079078.97	11644248.69	5387438.237	11060621.9	15850281.71	26449710.01	9439953.339	5632199.306	25921047.44	7655773.329	10787416.98	9400367.961	10303873.91	10910995.75	10604446.22
				Nicotinamide riboside	255.1/123.1				7.837122												1292562.087	1096913.13	1311741.614	1152205.914	1613079.948	1773284.648	2158827.6	3010505.38	2469697.915	3243363.252	2568988.896	3068953.79	1752164.576	1857794.805	2036270.597	2090438.84	1785373.002	1983100.296	2292008.339	2097506.052	2227737.247
				Gamma-Aminobutyric acid	104/87.1				5.671783333												918988.5096	971121.8872	1285232.494	1266900.438	1159274.461	1070307.487	825868.7189	891420.5298	880456.4969	1029940.868	1103072.052	1068777.492	1307921.882	668108.1892	989440.6357	842671.0418	566741.8322	709977.0862	705089.3755	675310.2499	676857.3004
				Glutamine	147/130				5.592277667												4458200.245	2700624.32	4015084.825	3812048.442	3933792.97	3267271.508	3351731.257	2457603.39	2475588.887	3165775.536	3243127.522	3354394.26	2729499.01	1399182.486	1896304.272	1440387.721	1545592.889	1766936.906	2751321.55	2648071.676	2635295.75
				Oxaloacetate	131.1/87.1				4.941944667												281637418.3	297585333.2	334049464.1	325895777	318871970.7	298927490.2	194412101.9	170129908.8	175686841.1	177552368.6	167120792.6	172820376.7	227008458.2	131587285.4	146791685.6	163284987.6	157375918.3	165958674	189090191.4	185515730.5	187229237.9
				Serine	106/60				5.671783333												4790330.092	7421048.069	5916809.549	4506370.339	4522766.476	5832800.382	10014321.03	5363703.729	4137599.504	4954915.293	6524759.104	7024366.489	5960641.812	8266020.175	7539108.113	8235145.444	22747768.95	7732329.006	6035385.238	5909699.709	6011431.488
				Glucuronic acid	193.2/113				5.261500333												887803.3615	892056.801	701440.1556	463176.4142	807674.3482	838178.7349	782579.1947	444623.6422	600421.7639	297194.0222	313118.4541	341871.0333	719903.2846	809538.2803	574110.2259	862419.8469	792643.0786	734102.6407	849143.3353	709429.5444	764863.7785
				S-Adenosylhomocysteine	383.1/134				5.707772333												183128.9624	239361.5136	151572.7098	135598.4712	193214.1272	167269.3673	220805.1917	125356.2777	170594.9646	116402.6913	105630.5654	129130.2689	211559.357	232058.4945	141766.7954	328008.9615	383808.7487	210491.0226	187379.7249	199176.8315	195887.3482
				Citrulline	176.1/159.2				5.938316333												2558739.915	3273754.59	2321672.406	1527291.142	2962345.581	2856208.781	2810027.528	2087514.25	2495511.706	1754750.236	1679358.695	1942862.277	3127964.971	4171774.538	2605567.694	4492068.192	5509791.019	3494855.143	2928667.934	2918706.147	2975144.056
				1,4-Dihydronicotinamide adenine dinucleotide (NADH)	664.1/408				5.261500333												1532412.582	2417787.562	1179487.997	953314.0751	2197224.494	1873457.147	1516144.234	2361744.218	3317293.193	1537499.884	1260651.019	1463797.577	2543766.131	3543369.17	2129028.869	4448173.805	3531884.203	3069982.993	2343465.286	2529666.567	2587484.835
				Flavin adenine dinucleotide (FAD)	784/346				5.199711												1660167.525	3114402.344	1334706.552	1043652.293	1821349.948	1628189.231	1545986.623	1091044.459	1383968.436	783383.5315	763241.7967	830216.0365	1803774.939	3068555.757	1570197.697	3520872.668	4247418.283	2341726.403	1695279.79	1766106.665	1896844.216
				Flavin mononucleotide (FMN)	455.1/97				5.395761333												8892587.918	9893386.885	7489308.677	3747436.093	10200356.79	8744397.804	7873962.977	4341269.889	4341516.605	3200704	3162803.556	3909507.128	8092607.367	9741059.672	6956275.995	11439830.9	7848023.874	10351315.53	8635240.382	8561820.583	7829755.059
				Acetyl coenzyme A (Acetyl-CoA)	808/408.1				5.472394333												746508.1823	2472724.031	618719.8968	755994.8797	1082825.272	765179.9177	476400.3112	406760.0305	1810321.894	318501.4872	289888.3737	386184.5365	1022798.158	1291840.843	549636.3673	2512469.599	3769944.316	752424.6181	736484.4959	1067672.415	907603.9856
				ADP-ribose	560/348				5.435617												638407.6059	521022.159	851455.5443	1814571.443	651436.4051	845162.4435	757110.8146	1973580.918	681121.1318	1549884.922	1197874.249	1065747.764	667755.5619	724022.7729	761175.5096	674326.0177	927592.2969	813657.9121	813731.3329	627112.2024	664535.2589
				Glycerol 3-phosphate	171.1/78.9				5.631911333												3143491.303	2962325.631	3132402.301	2478100.787	3848484.943	2668422.213	2732472.943	1705103.532	2886939.536	1220434.21	1039368.273	1840080.717	3770577.47	1703216.982	1486623.936	4928730.376	2047728.467	2284845.021	2938661.578	2868391.308	2972880.185
				Dihydroxyacetone phosphate	169.1/78.9				6.866058												353239.9819	449296.2807	368919.6284	341877.9971	387858.39	401761.6686	368173.029	307380.3793	343719.7822	307185.7679	289472.4032	316310.913	706045.2613	607162.4631	407350.5717	630349.9612	695200.5695	516029.3693	397383.7188	399808.6908	370443.9815
				D-Ribulose 5-phosphate	229.2/96.9				5.780478												15647227.92	20544854.26	14408673.35	6227947.625	17683525.08	16453613.36	16428332.79	7454966.584	9990235.165	5858060.416	5759860.75	7255280.535	19610892.53	24219734.88	17819586.44	32213568.71	30859117.3	22916540.32	15832693.65	17778548.08	17587560.59
				UDP-N-acetylglucosamine	606.1/384.9				5.631911333												2950718.944	2825222.511	3749050.277	7915379.258	3033002.639	3735449.434	510849.1835	625911.5009	421207.1572	623654.9208	548876.6607	602737.5435	1996654.858	2001851.463	3754149.685	2621095.445	2374472.136	2383006.639	3124129.622	2318459.441	2355157.364
				N-Acetylglucosamine 1-phosphate	300.1/79.1				5.847561333												24196982.64	24670340.67	26601377.55	25239808.75	27499661.49	28178934.49	2887953.438	2407732.314	2190539.53	2375284.339	2078602.701	2595810.237	30475599.58	26791181.53	28056791.42	29618234.66	24648969.03	28250457.45	22565267.57	20864761.09	22068026.14
				¦Â-Nicotinamide adenine dinucleotide (NAD)	662.1/540				6.039233333												8482855.346	6745101.493	2819560.204	4060271.696	7421119.995	2355001.394	1911720.527	2517056.589	2261179.205	4116193.212	2855659.815	2931981.811	4709712.88	3836626.245	2644084.138	2880772.695	15862164.17	2596753.06	2924881.953	2388251.444	2769746.611
				Fructose 6-phosphate	259.1/97.01				6.039233333												30162434.2	32406080.51	33852263.33	32378514.01	29805255.45	34236302.91	36902977.62	34286004.34	34851990.17	29192070.19	33526481.26	43039304.56	23346611.95	29281716.3	36469190.39	40593412.17	26541954.62	30444069.07	40739045.11	39553835.59	38277592.43
				N-Acetylglucosamine 6-phosphate	300.1/97.1				5.847561333												5927603.386	5285990.739	5598250.222	6009339.967	7372172.68	6575796.098	229732.8222	105061.6982	63831.90223	76050.21524	85285.98169	102477.1074	8201796.544	6206749.499	7301345.854	7827066.326	6115871.42	8231908.825	4927030.899	4562235.601	4941380.009
				Guanosine monophosphate (GMP)	362.1/79.1				6.169633667												1240867.815	1191135.644	1462250.096	1171490.867	1128980.657	1298086.641	1449627.453	1209968.267	1235135.23	963786.2032	1147662.187	1348050.887	987050.1576	1416459.978	334766.3333	1392385.569	1193958.362	1143492.017	1439417.777	1539297.275	1433451.265
				Phosphoenolpyruvate	167.3/78.9				5.975277667												15940752.14	17503365.76	14009591.81	18168907.61	14641374.7	11146163.92	12220029.16	13747930.44	16659335.11	10020884.21	12434621.28	11461885.89	10612118.79	9698278.969	12830740.97	15039079.94	10912534.67	8301783.055	15864007.21	13036103.52	11084897.13
				D-Sedoheptulose 7-phosphate	289.3/96.9				6.378838667												12562284.26	13778287.8	14855165.84	13882924.13	12781690.15	12872061.33	15987756.6	15217691.18	17709820.17	12315181.32	14276489.68	15283459.53	11606495.85	12132284.04	15646379.12	17809536.97	12636321.36	11162874.97	15275153.88	15063775.02	14317330.58
				3-Phosphoglycerate	185/79				6.110061												5205403.603	6453550.631	4734861.314	3714453.134	6692749.983	6192084.044	4573494.256	2638095.577	4665636.526	2514508.411	2024874.094	3104941.777	6153387.284	6890303.981	4014684.741	11987750.96	7941824.65	7622816.222	5699477.135	6087064.831	5929475.806
				Glutaryl-CoA	880.1/407.9				5.975277667												368306.6108	509026.3817	375587.8345	329652.7312	379592.9927	377164.7849	392298.356	309798.3945	317608.5447	308364.7368	288642.1076	312607.8193	379026.584	451885.1478	355774.9605	548646.7251	659583.3727	426884.801	391935.2946	374020.6286	371553.3909
				Succinyl-CoA	866.1/408.1				5.888794667												3300016.46	5013749.321	4621065.073	2815309.162	4698495.61	5634696.347	5395166.831	3419793.391	4303591.911	2394904.353	2793200.964	3809912.015	7022835.758	9448559.794	5817110.067	12055180.43	10995246.37	6616714.113	4713313.596	5500520.009	5217064.384
				Uridine 5'-diphosphate	403/159				6.393294333												21692000.12	21691998.6	21692000.97	21691999	21691998.81	21692000.48	12252154.84	12223295.44	10019314.45	9729095.984	10505198.59	11642328.69	25035712.75	25035714.01	25035713.48	25035714.25	25035713.39	25035713.06	19591184	17854969.58	19535639.92
				UDP-Glucuronate	579/403				6.462360667												41818.43654	44098.5263	42232.37908	42687.33094	41011.56191	44560.33549	21672.06194	24849.81542	32152.21758	19844.67802	21619.98917	27858.38167	18802.74606	42415.38838	44687.15126	55891.55296	40555.70435	33870.46503	60909.98656	55578.04804	60956.37158
				6-Phosphogluconate	275.2/97.1				6.226977667												639899.3415	594580.4835	639829.8857	586519.979	677887.0927	624576.8399	666481.5934	685132.0233	596582.6722	684703.8164	634690.234	692567.2655	535419.979	491937.8475	495210.6833	523669.5316	502549.5582	567639.4256	615393.5265	623318.4018	620563.9954
				Adenosine-5'-triphosphate (ATP)	506/79				6.499272												1064163.972	1044996.581	1151264.431	1070292.911	1025902.12	1268967.757	2784802.696	1525670.992	1309426.115	1280616.096	1397539.801	1576197.639	948934.5569	1496829.126	1573777.304	1441744.199	1353369.87	1191395.116	1504057.878	1396433.686	1369703.941
				Dihydronicotinamide-adenine dinucleotide phosphate (NADPH)	744.1/408				6.53395												29343693.94	29527858.86	31523907.42	30812772.21	34663976.76	33905413.4	42508735.64	37011098.11	40149885.09	37071698.97	31862305.89	36459375.63	34759629.76	29169087.67	29215220.39	30978463.19	35195729.9	32227408.99	31335255.45	31485726.4	31276206.23
				Guanosine diphosphate (GDP)	442/79				6.474666333												5431389.476	5430716.328	5619905.602	5737716.736	5502814.841	5111127.156	2236473.478	1975094.707	2242511.57	1775945.465	2081146.471	2322386.791	5254397.215	4810221.149	6188883.352	6119572.947	5021112.727	4832148.828	4201993.824	4289851.39	4147556.395
