Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Strain type]	Term Source REF	Term Accession Number
rapZE227Stop-1	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	rapZE227Stop-1	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
rapZE227Stop-2	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	rapZE227Stop-2	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
rapZE227Stop-3	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	rapZE227Stop-3	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
rapZE227Stop-4	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	rapZE227Stop-4	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
rapZE227Stop-5	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	rapZE227Stop-5	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
rapZE227Stop-6	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	rapZE227Stop-6	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
WT-1	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WT-1	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195
WT-2	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WT-2	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195
WT-3	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WT-3	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195
WT-4	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WT-4	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195
