,identifier,Alignment ID,Average Mz,Average Rt(min),duplicate_flag,adduct_flag,isotope_flag,isotope_phr,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,SA1,SA2,SA3,SA4,SA5,SB1,SB2,SB3,SB4,SB5
0,0.03_171.99,1848,171.9936,0.031,,,,,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,8.84,SB4,171.99359:3700618 172.99694:146562 174.0003:0,,4075218.8,3107714.5,3224671.2,3100795.2,3218963.5,4109884.8,3473687.0,3555931.0,3700617.8,4714087.5
1,0.04_182.99,2151,182.9855,0.038,,,,,Unknown,[M+H]+,,0.4,False,,,,,,,999,False,False,False,,False,False,,,,,,,,6.97,SA1,182.98552:8745378 183.98887:356826 184.99223:791982,,8745378.0,6435527.5,6564399.0,6728224.0,6689435.0,8370828.0,6570529.0,6653673.5,6556864.5,7956248.5
2,0.04_196.15,2554,196.1549,0.042,,,,,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.85,SB1,196.15492:2931168 197.15827:257496 198.16163:17939,,3511845.2,2745459.0,2600677.0,2587100.2,2586849.2,2931167.5,2311969.0,2228402.2,2217159.0,2885036.2
3,0.41_118.44,554,118.4398,0.407,,,,,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,2.95,SA3,118.43975:50259 119.4431:0 120.44646:0,,35294.02,30813.0,50259.05,24106.03,33674.96,31959.85,25801.86,21137.22,19737.76,18970.89
4,0.43_118.09,539,118.0864,0.427,Match #065: Possible duplicate of 0.52_118.09 (0.0%),,,,w/o MS2:Valine; LC-ESI-QTOF; MS2; CE,[M+H]+,,0.5,False,,118.08626,C5H11NO2,Valine and derivatives,KZSNJWFQEVHDMF-UHFFFAOYNA-N,CC(C)C(N)C(O)=O,530,True,True,False,,False,False,,,100.0,,,,,5.96,SB1,118.08636:57822920 119.08971:3440879 120.09307:244768,,57559904.0,47708448.0,47418344.0,46128584.0,47533796.0,57822920.0,47149300.0,46561192.0,46621160.0,44220552.0
5,0.44_119.11,568,119.1068,0.436,,,,,Unknown,[M+H]+,,0.5,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.58,SA1,119.1068:93366 120.11015:4389 121.11351:137508,,93366.3,59506.06,82668.0,67465.31,86444.59,92408.93,66182.67,59381.93,84680.1,91403.82
6,0.45_144.14,1180,144.1384,0.448,,,,,Unknown,[M+H]+,,0.4,False,,,,,,,999,False,False,False,,False,False,,,,,,,,1.15,SA1,144.13841:172213 145.14176:144088 146.14512:14965,,172213.31,151406.66,139346.2,128096.89,117628.35,138887.55,135420.38,131668.31,155683.1,140796.83
7,0.45_218.14,3306,218.1393,0.452,,,,,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,14.86,SA1,218.13927:414100 219.14262:16923 220.14598:0,,414100.5,320362.1,286692.9,269249.88,270991.16,307616.06,261798.36,219704.11,207389.33,207245.94
8,0.46_260.22,5195,260.2221,0.457,,,,,Unknown,[M+H]+,,0.6,False,,,,,,,999,False,False,False,,False,False,,,,,,,,7.62,SA1,260.22211:167884 261.22546:0 262.22882:0,,167884.05,111656.38,98219.47,110335.93,98983.07,107369.56,94189.12,77655.38,68675.27,68679.95
9,0.46_199.99,2675,199.9885,0.462,Match #412: Possible duplicate of 0.55_199.99 (0.0%),,,,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,29.88,SA5,199.98846:12157195 200.99181:624250 201.99517:109279,,16030599.0,12433702.0,11940140.0,11525560.0,12157195.0,14530434.0,11180084.0,10573065.0,10259470.0,9332673.0
10,0.47_188.00,2305,188.0011,0.465,,,,,Unknown,[M+H]+,,0.5,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.35,SA1,188.0011:112050 189.00445:60835 190.00781:309324,,112050.35,53442.81,62423.94,61499.18,42449.12,70013.93,57753.86,38053.01,56725.34,70245.94
11,0.47_436.34,14671,436.3424,0.465,,,,,Unknown,[M+H]+,,0.6,False,,,,,,,999,False,False,False,,False,False,,,,,,,,7.62,SA1,436.34241:278055 437.34576:44618 438.34912:0,,278055.22,207973.7,192820.02,183682.77,201241.02,238964.89,167091.61,155734.7,148838.05,167613.28
12,0.47_135.53,1006,135.5307,0.469,,,,,Unknown,[M+H]+,,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,8.3,SA1,135.53067:284519 136.53402:34089 137.53738:0,,284519.44,161539.81,184605.55,145096.56,198896.03,224427.03,199650.9,111132.61,132675.4,132892.73
13,0.47_337.88,9555,337.8841,0.473,,,,,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.45,SA1,337.88409:111372 338.88744:0 339.8908:0,,111371.95,25254.74,42151.34,55786.34,35686.21,42212.06,33621.3,17540.39,23117.06,18008.94
14,0.47_219.97,3349,219.9724,0.475,,,,,Unknown,[M+H]+,,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.04,SA5,219.97243:1326790 220.97578:13793 221.97914:0,,570694.8,1123955.6,1008343.5,1150161.2,1326789.9,536035.56,1284022.8,1199335.8,1150245.6,1215519.6
15,0.48_154.99,1406,154.9902,0.476,Match #183: Possible duplicate of 0.55_154.99 (0.0%),,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,25.2,SA1,154.9902:12093476 155.99355:616475 156.99691:2049119,,12093476.0,8537643.0,8010113.5,8033622.5,8926810.0,11098108.0,10625180.0,7786651.0,7823137.5,7722568.5
16,0.48_186.96,2262,186.9568,0.477,,,,,Unknown,[M+H]+,,0.7,False,,,,,,,999,False,False,False,,False,False,,,,,,,,12.08,SB1,186.95683:1328192 187.96018:0 188.96354:0,,1645584.8,1252729.1,1159058.5,1099591.1,1078276.5,1328192.5,943599.4,841778.94,715097.6,741392.2
17,0.48_110.02,304,110.0204,0.477,,,"Match #030: 0.48_112.02 = [M+H+2] w/ R^2 = 0.646, dRT = 0.005, PHR = 0.095 +/- 0.011",0.0953422865125657,Unknown,[M+H]+,,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,16.06,SB1,110.02039:11307317 111.02374:2162454 112.0271:969364,,10663866.0,7839252.0,7648581.5,7229879.0,8719339.0,11307317.0,9758994.0,7540396.5,6485576.0,6983638.0
18,0.48_139.98,1087,139.9824,0.477,,,,,Unknown,[M+H]+,,0.4,False,,,,,,,999,False,False,False,,False,False,,,,,,,,16.97,SB1,139.98242:1822952 140.98577:153865 141.98913:296493,,1887064.1,1354512.8,1400212.5,1340418.9,1525176.0,1822951.5,1503075.6,1397076.1,1277396.2,1321791.4
