sampling_location,eff_abundance,inf_abundance
AD,3.0159480580643514,3.249496226248737
AH,4.34964118690282,4.118073635746002
BE,4.101082062381539,4.396419968321699
EM,2.781984972500063,3.6135141383099203
FD,3.2789444149760856,3.468922802799419
FR,2.8668205864280525,3.4526400502308263
MN,2.6103581890544474,3.8507700421845374
TE,2.829992213556002,3.5975125961741377
TG,3.2493311478667186,4.139855345078467
TU,2.903425459069126,3.564761518490097
WT,2.958054892722463,3.52263755151741
ZR,3.481816890157985,3.8737878755790565
