first_prot,Gene names,Protein names,Peptides,Potential contaminant,Razor unique peptides,Unique peptides,Molweight kDa,Score,Qvalue,Sequence coverage,MSMS Count,Protein IDs,Majority protein Ids
P04217,A1BG,Alpha-1B-glycoprotein,18,,18,18,54.253,181.04,0.0,52.5,405,P04217;P04217-2;M0R009;CON__Q2KJF1,P04217;P04217-2;M0R009
Q9NQ94-6,A1CF,APOBEC1 complementation factor,6,,5,5,58.871,3.7726,0.00025684,15.0,14,Q9NQ94-6;Q9NQ94;F8W9F8;Q9NQ94-5;Q9NQ94-3;Q9NQ94-2;Q9NQ94-4,Q9NQ94-6;Q9NQ94;F8W9F8;Q9NQ94-5;Q9NQ94-3;Q9NQ94-2;Q9NQ94-4
P01023,A2M,Alpha-2-macroglobulin,70,,70,55,163.29,323.31,0.0,61.5,1933,P01023;F8W7L3;H0YFH1;F5H1E8,P01023
A8K2U0,A2ML1,Alpha-2-macroglobulin-like protein 1,17,,17,17,161.1,23.239,0.0,12.4,23,A8K2U0;H0YGG5;A8K2U0-2;H0YH14,A8K2U0
Q9NPC4,A4GALT,Lactosylceramide 4-alpha-galactosyltransferase,1,,1,1,40.499,2.6003,0.0013166,3.4,1,Q9NPC4,Q9NPC4
Q9NRG9,AAAS,Aladin,16,,16,16,59.573,57.808,0.0,41.0,141,Q9NRG9;Q9NRG9-2;F8VZ44;H3BU82;F8VUB6,Q9NRG9;Q9NRG9-2;F8VZ44;H3BU82
Q86V21,AACS,Acetoacetyl-CoA synthetase,20,,20,20,75.143,26.19,0.0,29.5,105,Q86V21;Q86V21-2;Q86V21-3;E7EW25,Q86V21;Q86V21-2
Q7RTV5,AAED1,Thioredoxin-like protein AAED1,1,,1,1,24.856,1.4694,0.0099745,6.6,1,Q7RTV5;H0Y5J5,Q7RTV5;H0Y5J5
Q6PD74,AAGAB,Alpha- and gamma-adaptin-binding protein p34,5,,5,5,34.593,9.158,0.0,16.5,27,Q6PD74;H0YL49;Q6PD74-2,Q6PD74
A0A096LP25,AAK1,Uncharacterized protein FLJ45252,18,,17,17,54.448,52.998,0.0,47.6,149,A0A096LP25;Q6ZSR9;A0A096LNZ0,A0A096LP25;Q6ZSR9;A0A096LNZ0
Q2M2I8,AAK1,AP2-associated protein kinase 1,23,,23,21,103.88,120.17,0.0,31.5,230,Q2M2I8;Q2M2I8-2;E9PG46;A0A096LP60,Q2M2I8;Q2M2I8-2;E9PG46
Q9H7C9,AAMDC,Mth938 domain-containing protein,9,,9,9,13.332,49.423,0.0,73.8,189,Q9H7C9;E9PNP3;E9PR47;E9PJP1;E9PLK9;K4DI89;Q9H7C9-3;Q9H7C9-2;E9PIQ4,Q9H7C9;E9PNP3;E9PR47;E9PJP1;E9PLK9;K4DI89;Q9H7C9-3;Q9H7C9-2
Q13685,AAMP,Angio-associated migratory cell protein,9,,9,9,46.75,26.705,0.0,25.3,52,Q13685;C9JG97;C9JEH3;C9JTS3;H7C0R2,Q13685;C9JG97;C9JEH3;C9JTS3
Q9Y312,AAR2,Protein AAR2 homolog,11,,11,11,43.472,38.786,0.0,37.8,57,Q9Y312;A2A2Q9,Q9Y312;A2A2Q9
P49588,AARS,"Alanine--tRNA ligase, cytoplasmic",51,,51,51,106.81,323.31,0.0,68.8,1303,P49588;P49588-2;H3BPK7,P49588;P49588-2
Q5JTZ9,AARS2,"Alanine--tRNA ligase, mitochondrial",25,,25,25,107.34,161.0,0.0,35.7,241,Q5JTZ9,Q5JTZ9
Q9BTE6-2,AARSD1;PTGES3L-AARSD1,Alanyl-tRNA editing protein Aarsd1,10,,10,10,58.752,49.284,0.0,25.9,85,Q9BTE6-2;C9J5N1;Q9BTE6;Q9BTE6-3;K7EQ85;L7N2F4;K7N799,Q9BTE6-2;C9J5N1;Q9BTE6;Q9BTE6-3
Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,12,,12,12,35.776,21.613,0.0,37.5,101,Q9NRN7;E9PLW6;Q9NRN7-2;E9PNF3,Q9NRN7;E9PLW6
Q9UDR5,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial;Lysine ketoglutarate reductase;Saccharopine dehydrogenase",13,,13,13,102.13,9.6604,0.0,17.4,19,Q9UDR5;F8WAH1;F8WE53,Q9UDR5;F8WAH1;F8WE53
